"","asv","direction","domain","conf.d","phylum","conf.p","class","conf.c","order","conf.o","family","conf.f","genus","conf.g","species","conf.s","num"
"ASV3","ASV3","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Davidiella",100,"Davidiella_tassiana|SH196750.06FU",100,3
"ASV6","ASV6","+","Fungi",100,"Ascomycota",97,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Dissoconium",99,"Dissoconium_sp_GS_2011|SH197940.06FU",99,6
"ASV7","ASV7","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Pleosporales_Incertae sedis",98,"Phoma",98,"Phoma_brasiliensis|SH202145.06FU",100,7
"ASV8","ASV8","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Pleosporaceae",100,"Alternaria",100,"Alternaria alternata",73,8
"ASV12","ASV12","+","Fungi",100,"Basidiomycota",100,"Microbotryomycetes",100,"Sporidiobolales",100,"Sporidiobolaceae",100,"Sporidiobolus",100,"Sporobolomyces ruberrimus",94,12
"ASV13","ASV13","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Mycosphaerella",100,"Sphaerulina_pseudovirgaureae|SH212655.06FU",72,13
"ASV14","ASV14","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Pleosporales_Incertae sedis",87,"Phoma",87,"",63,14
"ASV15","ASV15","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Mycosphaerella",100,"Uwebraunia commune",99,15
"ASV16","ASV16","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Mycosphaerella",100,"Mycosphaerella lateralis",82,16
"ASV17","ASV17","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Davidiella",100,"Davidiella macrospora",74,17
"ASV19","ASV19","+","Fungi",100,"Ascomycota",83,"Dothideomycetes",72,"Pleosporales",72,"Phaeosphaeriaceae",100,"Eudarluca",100,"Eudarluca_caricis|SH225744.06FU",100,19
"ASV20","ASV20","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Didymellaceae",100,"",51,"",33,20
"ASV21","ASV21","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Pleosporales_Incertae sedis",100,"Phoma",100,"Phoma paspali",100,21
"ASV22","ASV22","+","Fungi",100,"Basidiomycota",100,"Microbotryomycetes",100,"Sporidiobolales",100,"Sporidiobolaceae",99,"Sporidiobolus",99,"Sporobolomyces_ruberrimus|SH196707.06FU",100,22
"ASV24","ASV24","+","Fungi",100,"Ascomycota",99,"Dothideomycetes",99,"Pleosporales",98,"Phaeosphaeriaceae",84,"Ascomycota_unidentified_1_1",96,"",62,24
"ASV25","ASV25","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Cystofilobasidiales",100,"Cystofilobasidiaceae",100,"Udeniomyces",100,"Udeniomyces megalosporus",100,25
"ASV26","ASV26","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Phaeosphaeriaceae",95,"Phaeosphaeria",95,"Phaeosphaeria sp 1 MM_2012",78,26
"ASV27","ASV27","+","Fungi",100,"Basidiomycota",100,"Microbotryomycetes",100,"Sporidiobolales",100,"Sporidiobolaceae",100,"Sporidiobolus",100,"Sporidiobolus pararoseus",100,27
"ASV28","ASV28","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Schizothyriaceae",100,"Zygophiala",100,"Schizothyriaceae_sp|SH232271.06FU",97,28
"ASV29","ASV29","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellales_Incertae sedis",100,"Bulleromyces",100,"Bulleromyces_albus|SH234350.06FU",100,29
"ASV30","ASV30","+","Fungi",100,"Ascomycota",99,"Dothideomycetes",99,"Pleosporales",99,"Phaeosphaeriaceae",96,"Phaeosphaeriopsis",94,"Phaeosphaeria oryzae",90,30
"ASV31","ASV31","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Mycosphaerella",100,"Mycosphaerella lateralis",96,31
"ASV32","ASV32","+","Fungi",100,"Ascomycota",79,"",11,"",7,"",6,"",6,"",4,32
"ASV33","ASV33","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Phaeosphaeriaceae",94,"Phaeosphaeria",94,"Phaeosphaeria sp 1 MM_2012",82,33
"ASV34","ASV34","+","Fungi",100,"Basidiomycota",98,"Exobasidiomycetes",89,"Entylomatales",77,"Entylomataceae",77,"Entyloma",77,"Exobasidiomycetes_sp|SH230059.06FU",100,34
"ASV35","ASV35","+","Fungi",100,"Basidiomycota",99,"Tremellomycetes",99,"Tremellales",99,"Tremellales_Incertae sedis",98,"Hannaella",97,"Hannaella oryzae",97,35
"ASV36","ASV36","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellaceae",100,"Cryptococcus",100,"Cryptococcus magnus",99,36
"ASV38","ASV38","+","Fungi",100,"Ascomycota",95,"Dothideomycetes",77,"Capnodiales",77,"",17,"",1,"",1,38
"ASV39","ASV39","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Capnodiales",100,"Mycosphaerellaceae",100,"Mycosphaerella",100,"",51,39
"ASV40","ASV40","+","Fungi",100,"Basidiomycota",100,"Microbotryomycetes",100,"Sporidiobolales",100,"Sporidiobolaceae",99,"Sporidiobolus",99,"Sporobolomyces ruberrimus",73,40
"ASV41","ASV41","+","Fungi",100,"Basidiomycota",99,"Tremellomycetes",99,"Tremellales",99,"Tremellaceae",97,"Cryptococcus",97,"Cryptococcus luteolus",97,41
"ASV42","ASV42","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellales_Incertae sedis",100,"Hannaella",100,"Hannaella zeae",100,42
"ASV43","ASV43","+","Fungi",100,"Ascomycota",98,"Dothideomycetes",95,"Pleosporales",93,"Pleosporaceae",78,"Dothideomycetes_unidentified_1",100,"Dothideomycetes_sp|SH225320.06FU",100,43
"ASV44","ASV44","+","Fungi",100,"Basidiomycota",97,"Exobasidiomycetes",85,"Exobasidiomycetes_unidentified",100,"Exobasidiomycetes_unidentified_1",100,"Exobasidiomycetes_unidentified_1",100,"Exobasidiomycetes_sp|SH230060.06FU",97,44
"ASV45","ASV45","+","Fungi",100,"",63,"",5,"",5,"",4,"",4,"",3,45
"ASV46","ASV46","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Pleosporaceae",97,"Epicoccum",97,"Epicoccum sorghi",97,46
"ASV47","ASV47","+","Fungi",100,"Basidiomycota",100,"Tremellomycetes",100,"Tremellales",100,"Tremellales_Incertae sedis",100,"Bullera",100,"Cryptococcus cellulolyticus",79,47
"ASV48","ASV48","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",99,"Capnodiales",99,"Mycosphaerellaceae",99,"Mycosphaerella",91,"",60,48
"ASV49","ASV49","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Didymellaceae",100,"Leptosphaerulina",100,"Leptosphaerulina chartarum",100,49
"ASV50","ASV50","+","Fungi",100,"Ascomycota",94,"Dothideomycetes",92,"Pleosporales",91,"Pleosporaceae",77,"Dothideomycetes_unidentified_1",100,"Dothideomycetes_sp|SH225320.06FU",100,50
"ASV51","ASV51","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Phaeosphaeriaceae",100,"Phaeosphaeriopsis",100,"Phaeosphaeria oryzae",89,51
"ASV52","ASV52","+","Fungi",100,"Ascomycota",100,"Sordariomycetes",100,"Hypocreales",100,"Nectriaceae",100,"Gibberella",90,"Ascomycota_sp|SH217298.06FU",95,52
"ASV54","ASV54","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Didymellaceae",100,"",61,"",61,54
"ASV55","ASV55","+","Fungi",100,"Ascomycota",100,"Dothideomycetes",100,"Pleosporales",100,"Phaeosphaeriaceae",92,"Phaeosphaeria",92,"Phaeosphaeria sp 1 MM_2012",77,55
